stationName,dow,06시이전,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,24시이후
강변,TUE,74.11,431.11,497.89,1113.56,996,1263.11,1050.67,1102.78,1095.33,1252.67,1485.78,1686.78,2184.89,2954,2660.78,2839.44,2098.33,1522.22,1057.78,804.33
강변,WED,64.78,404.75,502.25,1183.5,1017.25,1353.25,1114.38,1155.25,1204.38,1375.63,1606.5,1808.38,2312.88,3346.88,2985.25,3121.75,2189.75,1661.25,1168.75,874.25
강변,THU,70.33,373.13,488.5,1241.38,1095.38,1416.13,1222,1282.13,1278.63,1397.25,1600.63,1775.88,2293.63,3159.13,2702.88,2739.13,2030.13,1651.25,1137.25,837.13
강변,FRI,79.11,328.89,420.44,1192.11,1058.89,1409.44,1207.44,1296,1396.56,1616.89,1880.44,2180.11,2684.89,3470.89,3134.67,3156,2335.67,1691.78,1309.11,980.33
강변,SAT,91.78,517,594.78,1258.56,1285.89,1524,1590,1689.33,1786.44,1861.44,2015.44,2095.22,2209.33,2158.78,2080.33,1886.67,1651.44,1440.56,1143,700
강변,SUN,73.67,412.22,402.89,770.67,750.33,942.89,1005.78,1201.11,1335.11,1518.89,1765.89,1976.22,2141,2154.22,2039.67,1801.78,1432.33,1131.11,769,374
잠실나루,MON,105.89,296.22,482,1004.33,974.56,1217.33,870.33,757.89,710.67,722.89,787.78,738.11,867,1090.22,1045.11,1148.56,894.89,631.11,458.22,323.11
잠실나루,TUE,113.67,305.67,542.67,1149.44,1078.89,1249.22,865.78,793.44,805.11,799.44,772,810.11,904,1228.11,1180,1154.56,927.67,668.67,505.44,370
잠실나루,WED,95.22,315.25,584,1292.13,1127.63,1318.75,899.75,839.75,794,780.25,821.63,798.75,979.75,1351.25,1295,1216.25,955.75,686.5,487.25,379.75
잠실나루,THU,102,293.5,578,1181,1016.63,1113.5,802.88,747.5,690.63,735.25,739.63,741.75,913.5,1198.25,1133.5,1061.5,864.25,693,506.13,380.75
잠실나루,FRI,104.56,274.11,502.89,1081.67,948.78,1173.56,782.33,708.78,697.78,740.67,781.33,803.89,929.67,1189.78,1109.44,1126.33,860.22,650,483.89,407.56
잠실나루,SAT,82.44,174,161.56,375.56,319.89,354.89,388.22,432.56,480.33,493.56,562.11,612.56,653.44,626,613.44,570.33,459.56,443.56,391.56,264.56
잠실나루,SUN,34.33,78.44,93.22,205.22,199.67,239.56,287.44,307.11,376.11,387.33,459.67,507,548.33,545.78,494.67,422.56,379.33,336.11,255.56,129.89
잠실,MON,181.78,645.11,1519.56,3594.33,4452.44,5502.11,4780.11,3791.22,3518.33,3477.67,3529.56,3753.89,4747.67,5701.22,5239.78,5804.89,4178.33,2977.78,1993.11,1334.67
잠실,TUE,194.44,712.33,1793.67,4221.33,4725,5618.22,4687.22,3596.78,3381.89,3214.89,3421.78,3785.44,4931.56,6666.22,5866.44,6021.78,4550.22,3072.44,2242.33,1472.44
잠실,WED,177.11,691.25,1905.5,4579.5,4932,5701.13,4728.13,3620.88,3479.13,3365.25,3501.5,4071.25,5293.25,7144.13,6444.25,6404.13,4450.38,3186.25,2347.88,1701
잠실,THU,154.22,687.63,1854.5,4664.13,4922.75,5057.25,4502.25,3516.13,3422.5,3378.63,3726.38,3904.38,5156,6860.63,6009.38,5856.38,4205.13,3243.25,2413.13,1650.25
잠실,FRI,174.44,623.56,1671.44,4406.89,4832.67,5290.11,4936.44,3858.78,3848.56,3921.78,4222.89,4583,5610.89,7465.44,6549.22,6634.89,4632.78,3392.56,2616.22,2005.56
잠실,SAT,132,759.78,925.33,1813.89,2689.56,3303.22,4608.56,4854.33,5587.67,5564.22,5991.22,5998.11,6013.56,5364.11,4786.22,4128.67,3249.33,2866.44,2327.33,1466.56
잠실,SUN,106.56,483.56,641.44,1425.33,2386.56,2872.67,3723.78,3919.78,4450.33,4426.67,4504.56,4626.22,4412.33,3929,3447,2840.22,2404.67,1948.56,1473,728.44
잠실새내,MON,34.78,152.89,314.56,636.11,864.33,950.67,1023.78,949.44,985.78,1043.11,1210.78,1349.67,1774,2197.44,2000.33,2230,1658,1054.44,786.44,531.11
잠실새내,TUE,33,186.44,347.22,711.67,904.22,956.33,987,922.67,989,1098.78,1211,1465.89,1852,2515.89,2367.44,2329.11,1820.67,1188.11,837.44,587.89
잠실새내,WED,29.89,168.75,377.63,768.75,914,1009.5,977.75,913.25,1018.13,1142.75,1283.13,1529.38,2010,2773.25,2498.38,2485.5,1765.5,1253.63,858.63,658.75
